quarter,price_revenue,product_category_name,price_sales
2016Q3,267.36,beleza_saude,1258681.34
2016Q3,267.36,relogios_presentes,1205005.68
2016Q3,267.36,cama_mesa_banho,1036988.68
2016Q3,267.36,esporte_lazer,988048.97
2016Q3,267.36,informatica_acessorios,911954.32
2016Q3,267.36,moveis_decoracao,729762.49
2016Q3,267.36,cool_stuff,635290.85
2016Q3,267.36,utilidades_domesticas,632248.66
2016Q3,267.36,automotivo,592720.11
2016Q3,267.36,ferramentas_jardim,485256.46
2016Q3,267.36,brinquedos,483946.6
2016Q3,267.36,bebes,411764.89
2016Q3,267.36,perfumaria,399124.87
2016Q3,267.36,telefonia,323667.52999999997
2016Q3,267.36,moveis_escritorio,273960.7
2016Q3,267.36,papelaria,230943.23
2016Q3,267.36,pcs,222963.13
2016Q3,267.36,pet_shop,214315.41
2016Q3,267.36,instrumentos_musicais,191498.88
2016Q3,267.36,eletroportateis,190648.58
2016Q3,267.36,Unknown,179535.28
2016Q3,267.36,eletronicos,160246.74
2016Q3,267.36,consoles_games,157465.22
2016Q3,267.36,fashion_bolsas_e_acessorios,152823.54
2016Q3,267.36,construcao_ferramentas_construcao,144677.59
2016Q3,267.36,malas_acessorios,140429.98
2016Q3,267.36,eletrodomesticos_2,113317.74
2016Q3,267.36,casa_construcao,83088.12
2016Q3,267.36,eletrodomesticos,80171.53
2016Q3,267.36,agro_industria_e_comercio,72530.47
2016Q3,267.36,moveis_sala,68916.56
2016Q3,267.36,telefonia_fixa,59583.0
2016Q3,267.36,casa_conforto,58572.04
2016Q3,267.36,climatizacao,55024.96
2016Q3,267.36,audio,50688.5
2016Q3,267.36,portateis_casa_forno_e_cafe,47445.71
2016Q3,267.36,livros_interesse_geral,46856.88
2016Q3,267.36,moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37
2016Q3,267.36,construcao_ferramentas_iluminacao,41080.0
2016Q3,267.36,construcao_ferramentas_seguranca,40544.52
2016Q3,267.36,industria_comercio_e_negocios,39669.61
2016Q3,267.36,alimentos,29393.41
2016Q3,267.36,market_place,28378.47
2016Q3,267.36,construcao_ferramentas_jardim,25715.89
2016Q3,267.36,artes,24202.64
2016Q3,267.36,fashion_calcados,23562.77
2016Q3,267.36,bebidas,22428.7
2016Q3,267.36,sinalizacao_e_seguranca,21509.23
2016Q3,267.36,moveis_quarto,20028.78
2016Q3,267.36,livros_tecnicos,19096.06
2016Q3,267.36,construcao_ferramentas_ferramentas,15903.95
2016Q3,267.36,alimentos_bebidas,15179.48
2016Q3,267.36,fashion_roupa_masculina,10797.82
2016Q3,267.36,fashion_underwear_e_moda_praia,9541.55
2016Q3,267.36,artigos_de_natal,8800.82
2016Q3,267.36,tablets_impressao_imagem,7528.41
2016Q3,267.36,cine_foto,6933.46
2016Q3,267.36,musica,6034.35
2016Q3,267.36,dvds_blu_ray,5999.39
2016Q3,267.36,livros_importados,4639.85
2016Q3,267.36,artigos_de_festas,4485.18
2016Q3,267.36,moveis_colchao_e_estofado,4368.08
2016Q3,267.36,portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997
2016Q3,267.36,fashion_roupa_feminina,2803.64
